Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-112.995,66.2061,34.1793,192.721,42.7755,41.9843,499.496,149.63,-17.8104,741.426,188.093,-30.0403
2,0,-112.952,66.2809,34.1679,192.646,42.6967,42.0503,499.485,149.572,-17.7805,741.395,188.066,-30.0816
3,0,-112.914,66.3455,34.2364,192.598,42.6398,41.9801,499.42,149.484,-17.7053,741.334,188.034,-30.0464
4,0,-112.906,66.3968,34.2739,192.566,42.5635,41.9414,499.4,149.422,-17.6897,741.313,187.992,-30.0088
5,0,-112.896,66.4732,34.2696,192.476,42.5557,41.9106,499.386,149.365,-17.6995,741.298,188.003,-30.0535
6,0,-112.876,66.5755,34.2739,192.46,42.4805,41.9084,499.377,149.306,-17.6798,741.24,187.975,-30.0344
7,0,-112.864,66.6534,34.2692,192.451,42.3984,41.9117,499.323,149.254,-17.6257,741.237,187.956,-30.0005
8,0,-112.845,66.7816,34.2839,192.451,42.396,41.9135,499.303,149.195,-17.6159,741.235,187.97,-30.054
9,0,-112.887,66.832,34.3494,192.413,42.3506,41.9075,499.285,149.179,-17.6529,741.16,187.926,-29.9807
10,0,-112.871,66.958,34.3801,192.395,42.3326,41.8296,499.271,149.124,-17.6668,741.137,187.932,-29.9987
11,0,-112.802,67.023,34.444,192.387,42.3141,41.7925,499.27,149.122,-17.6646,741.142,187.912,-30.0571
12,0,-112.781,67.1228,34.465,192.349,42.3139,41.8635,499.269,149.077,-17.6925,741.143,187.927,-30.1325
13,0,-112.77,67.2009,34.4545,192.345,42.2665,41.8073,499.256,149.064,-17.6729,741.131,187.942,-30.1983
14,0,-112.725,67.2905,34.5331,192.332,42.2481,41.7104,499.255,149.042,-17.664,741.147,187.908,-30.1965
15,0,-112.705,67.3912,34.559,192.333,42.2497,41.6938,499.277,149.032,-17.6335,741.146,187.913,-30.1241
16,0,-112.694,67.4693,34.5502,192.333,42.2496,41.7012,499.268,149.096,-17.6836,741.129,187.899,-30.1953
17,0,-112.682,67.5464,34.5402,192.332,42.2493,41.7051,499.276,149.059,-17.6453,741.131,187.942,-30.2028
18,0,-112.633,67.6469,34.5449,192.332,42.2501,41.7024,499.29,149.111,-17.6221,741.114,187.904,-30.1785
19,0,-112.654,67.7022,34.5706,192.36,42.2303,41.612,499.291,149.115,-17.6236,741.111,187.892,-30.2678
20,0,-112.642,67.7619,34.7194,192.373,42.2505,41.6089,499.341,149.12,-17.7004,741.118,187.881,-30.2382
21,0,-112.623,67.8608,34.7573,192.363,42.2313,41.5999,499.346,149.122,-17.7224,741.114,187.877,-30.2597
22,0,-112.58,67.9113,34.7313,192.385,42.2294,41.6124,499.345,149.122,-17.7174,741.117,187.863,-30.208
23,0,-112.598,68.0163,34.7283,192.434,42.2481,41.5667,499.347,149.144,-17.6839,741.115,187.861,-30.1892
24,0,-112.592,68.0442,34.7424,192.45,42.2291,41.5477,499.426,149.153,-17.7729,741.176,187.869,-30.2697
25,0,-112.58,68.1185,34.7415,192.488,42.2272,41.4787,499.457,149.171,-17.743,741.184,187.873,-30.2997
26,0,-112.53,68.2193,34.7435,192.518,42.243,41.506,499.464,149.156,-17.6542,741.182,187.872,-30.2955
27,0,-112.518,68.2972,34.7378,192.549,42.2619,41.5525,499.462,149.152,-17.6332,741.196,187.859,-30.2383
28,0,-112.507,68.3742,34.7311,192.587,42.2618,41.4893,499.512,149.159,-17.7137,741.18,187.845,-30.3133
29,0,-112.496,68.4515,34.7249,192.587,42.2922,41.4769,499.517,149.185,-17.7401,741.183,187.872,-30.303
30,0,-112.462,68.5324,34.6459,192.611,42.2632,41.4861,499.516,149.163,-17.7363,741.196,187.859,-30.2414
31,0,-112.393,68.5967,34.6948,192.624,42.3382,41.4904,499.53,149.24,-17.7265,741.194,187.857,-30.2217
32,0,-112.327,68.673,34.6326,192.661,42.3427,41.4184,499.53,149.244,-17.7276,741.194,187.857,-30.2245
33,0,-112.314,68.7522,34.6075,192.686,42.3286,41.4697,499.543,149.323,-17.7245,741.211,187.897,-30.2491
34,0,-112.25,68.8045,34.5184,192.684,42.3263,41.4909,499.544,149.326,-17.7257,741.211,187.939,-30.2346
35,0,-112.213,68.8855,34.4232,192.705,42.3268,41.5009,499.559,149.382,-17.7214,741.195,187.951,-30.2801
36,0,-112.175,68.9378,34.4288,192.707,42.3258,41.5029,499.56,149.384,-17.7215,741.196,187.953,-30.295
37,0,-112.109,68.9879,34.3506,192.707,42.3259,41.5024,499.538,149.413,-17.7528,741.195,187.967,-30.3534
38,0,-112.073,69.0695,34.2542,192.706,42.3268,41.4994,499.503,149.467,-17.6829,741.213,188.008,-30.3873
39,0,-112.008,69.1235,34.1504,192.707,42.3261,41.5014,499.499,149.466,-17.6605,741.2,188.023,-30.4418
40,0,-111.976,69.1499,34.1423,192.707,42.3259,41.5022,499.49,149.479,-17.7322,741.198,188.063,-30.4306
41,0,-111.953,69.1523,34.0795,192.701,42.2977,41.5293,499.486,149.57,-17.7822,741.196,188.078,-30.4811
42,0,-111.888,69.2304,33.9855,192.7,42.2958,41.5363,499.486,149.575,-17.7888,741.136,188.072,-30.4201
43,0,-111.82,69.2436,34.0557,192.695,42.247,41.507,499.486,149.572,-17.7826,741.131,188.12,-30.4571
44,0,-111.762,69.2665,33.9795,192.734,42.2451,41.4294,499.455,149.594,-17.8804,741.135,188.148,-30.4401
45,0,-111.727,69.3077,34.0507,192.694,42.261,41.33,499.456,149.598,-17.9072,741.134,188.123,-30.4724
46,0,-111.689,69.3291,34.0843,192.714,42.2626,41.3299,499.469,149.631,-17.9263,741.119,188.174,-30.5543
47,0,-111.659,69.3689,34.1391,192.683,42.2427,41.3063,499.439,149.655,-18.0298,741.121,188.179,-30.5759
48,0,-111.586,69.4701,34.0811,192.682,42.2416,41.3045,499.39,149.653,-17.9802,741.121,188.17,-30.6289
49,0,-111.527,69.4604,34.1311,192.662,42.2551,41.237,499.364,149.657,-17.9829,741.046,188.175,-30.611
50,0,-111.515,69.5322,34.1455,192.663,42.2571,41.221,499.363,149.68,-17.9904,741.041,188.174,-30.5947
51,0,-111.428,69.5752,34.1618,192.663,42.2565,41.2252,499.376,149.666,-18.0313,741.043,188.158,-30.5757
52,0,-111.375,69.6469,34.1595,192.663,42.2562,41.2282,499.342,149.616,-18.076,741.041,188.171,-30.6344
53,0,-111.307,69.7106,34.2227,192.662,42.257,41.2257,499.341,149.615,-18.0799,741.044,188.174,-30.6561
54,0,-111.298,69.7608,34.2584,192.663,42.2563,41.2274,499.341,149.615,-18.0762,741.029,188.111,-30.674
55,0,-111.239,69.8021,34.2476,192.64,42.2569,41.2146,499.338,149.593,-18.1039,741.013,188.121,-30.7239
56,0,-111.203,69.8526,34.2195,192.639,42.2574,41.2118,499.308,149.614,-18.2114,741.015,188.124,-30.7373
