Trajectories
200
,,,,,,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,741.694,305.994,14.9668,492.357,240.576,-38.8543,174.65,76.2823,28.0434,-95.3296,80.7649,25.7908
2,0,742.568,305.09,13.6782,492.716,240.111,-38.8982,174.677,76.262,27.9975,-95.1886,80.7819,25.6736
3,0,743.389,304.151,12.2534,493.075,239.644,-39.1381,174.686,76.2322,27.9332,-95.0743,80.7697,25.6565
4,0,744.145,303.257,10.8171,493.446,239.203,-39.3777,174.737,76.2091,27.8949,-94.9816,80.8065,25.653
5,0,744.987,302.363,9.44922,493.812,238.747,-39.6079,174.74,76.2084,27.8923,-94.8608,80.8192,25.6639
6,0,745.755,301.485,8.05873,494.165,238.299,-39.9416,174.774,76.2121,27.8274,-94.7471,80.8312,25.6706
7,0,746.435,300.671,6.75801,494.461,237.891,-40.1261,174.802,76.2106,27.8216,-94.6221,80.8673,25.655
8,0,747.136,299.893,5.40208,494.771,237.42,-40.2503,174.85,76.133,27.7712,-94.4854,80.8597,25.573
9,0,747.846,299.101,4.02579,495.064,237.048,-40.5139,174.874,76.1156,27.8269,-94.4196,80.9131,25.5023
10,0,748.438,298.339,2.77817,495.315,236.684,-40.711,174.924,76.0907,27.8213,-94.3051,80.9274,25.4646
11,0,749.066,297.616,1.3896,495.576,236.37,-41.0603,174.92,76.067,27.7907,-94.1827,80.9382,25.4752
12,0,749.663,296.954,0.03002,495.876,235.994,-41.3789,174.977,76.069,27.7286,-94.0972,80.9776,25.4614
13,0,750.221,296.359,-1.24098,496.094,235.671,-41.6689,175.008,75.9943,27.6438,-93.9774,80.9909,25.4674
14,0,750.73,295.749,-2.56778,496.315,235.335,-41.8859,175.032,75.9902,27.6454,-93.8679,81.008,25.369
15,0,751.242,295.14,-3.87313,496.602,235.047,-42.152,175.067,75.9942,27.5828,-93.748,81.0497,25.3664
16,0,751.744,294.68,-5.28039,496.772,234.718,-42.3718,175.088,75.9689,27.5594,-93.6656,81.0382,25.3729
17,0,752.218,294.131,-6.57184,496.997,234.454,-42.6349,175.115,75.9454,27.5208,-93.5419,81.0729,25.3601
18,0,752.664,293.635,-7.89406,497.206,234.185,-42.9857,175.143,75.9013,27.5774,-93.4764,81.1277,25.3013
19,0,753.104,293.189,-9.10076,497.4,233.905,-43.303,175.17,75.8789,27.5055,-93.4165,81.1405,25.3364
