Trajectories
200
,,Flo:lshoulder,,,Flo:rshoulder,,,Flo:elbow,,,Flo:wrist,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-155.104,117.874,63.8526,219.073,102.455,14.3448,529.023,198.397,6.15464,789.358,213.235,17.9534
2,0,-155.119,117.979,63.8744,219.094,102.533,14.3291,529.022,198.419,6.15281,789.353,213.144,18.0475
3,0,-155.127,118.048,63.9366,219.099,102.538,14.318,529.034,198.425,6.25215,789.337,213.062,18.0636
4,0,-155.092,118.134,64.021,219.113,102.61,14.3162,529.045,198.501,6.28566,789.337,213.061,18.055
5,0,-155.074,118.235,64.0412,219.126,102.649,14.2936,528.992,198.563,6.3208,789.322,213.022,18.0653
6,0,-155.075,118.332,64.111,219.067,102.69,14.362,529.005,198.578,6.3613,789.394,213.014,18.0555
7,0,-155.054,118.481,64.1114,219.039,102.728,14.5643,529.023,198.632,6.36732,789.336,213.008,18.1201
8,0,-155.037,118.586,64.1093,219.011,102.747,14.6586,529.037,198.715,6.3708,789.345,213.046,18.1321
9,0,-155.008,118.762,64.111,219.026,102.82,14.6532,529.053,198.819,6.39905,789.4,213.07,17.9891
10,0,-155.004,118.829,64.1855,219.06,102.906,14.601,529.068,198.856,6.37798,789.418,213.083,18.0374
11,0,-154.976,119.002,64.2049,219.022,102.986,14.6247,529.085,198.957,6.40327,789.402,213.09,18.0249
12,0,-154.926,119.133,64.2045,219.02,103.056,14.663,529.099,199.04,6.41373,789.43,213.121,18.0523
13,0,-154.941,119.232,64.1725,219.034,103.131,14.67,529.042,199.122,6.45635,789.429,213.138,18.0332
14,0,-154.92,119.388,64.1985,219.056,103.21,14.6506,529.052,199.203,6.47113,789.418,213.166,17.9204
15,0,-154.902,119.492,64.2145,219.055,103.232,14.7791,529.072,199.304,6.50244,789.424,213.141,17.9563
16,0,-154.886,119.588,64.179,219.036,103.29,14.8728,529.08,199.431,6.4539,789.392,213.119,17.9041
17,0,-154.869,119.719,64.1842,219.045,103.364,14.888,529.098,199.537,6.46896,789.331,213.096,17.9087
18,0,-154.871,119.815,64.2648,219.071,103.443,14.8535,529.084,199.641,6.38151,789.328,213.094,17.9221
19,0,-154.861,119.936,64.1481,219.093,103.495,14.8276,529.082,199.713,6.32826,789.302,213.059,17.7924
20,0,-154.85,120.017,64.1055,219.095,103.544,14.954,529.087,199.809,6.26131,789.307,213.046,17.6996
21,0,-154.839,120.092,64.1016,219.079,103.605,15.0439,529.074,199.918,6.15254,789.22,212.994,17.7497
22,0,-154.828,120.167,64.0979,219.158,103.683,14.9871,529.081,199.997,6.06779,789.201,212.994,17.6399
23,0,-154.816,120.216,64.0838,219.204,103.732,14.8776,529.075,200.067,6.00073,789.191,212.973,17.5609
24,0,-154.837,120.294,64.0829,219.231,103.783,14.8312,529.063,200.15,5.89848,789.182,212.968,17.4521
25,0,-154.828,120.37,64.0765,219.231,103.784,14.8334,529.061,200.179,5.87919,789.174,212.981,17.3472
26,0,-154.822,120.425,64.0965,219.221,103.829,14.9918,529.098,200.244,5.68967,789.097,212.916,17.3739
27,0,-154.828,120.465,64.1563,219.21,103.873,14.9426,529.086,200.262,5.60739,789.08,212.916,17.259
28,0,-154.824,120.518,64.1894,219.248,103.93,14.8654,529.088,200.313,5.51853,789.061,212.876,17.1314
29,0,-154.818,120.54,64.1596,219.187,103.938,15.0082,529.092,200.338,5.53431,789.052,212.887,17.0263
30,0,-154.812,120.594,64.1745,219.15,103.94,15.0151,529.06,200.339,5.41954,789.038,212.843,16.9344
31,0,-154.786,120.581,64.2547,219.225,103.967,15.0523,529.063,200.365,5.42005,789.03,212.837,16.8239
32,0,-154.804,120.57,64.3393,219.162,103.956,15.094,529.06,200.343,5.40347,789.017,212.782,16.8418
33,0,-154.805,120.568,64.349,219.141,103.945,15.1357,529.063,200.363,5.43085,789.014,212.771,16.7748
34,0,-154.805,120.57,64.342,219.138,103.943,15.1482,529.059,200.342,5.40861,788.991,212.727,16.6669
35,0,-154.772,120.567,64.3302,219.203,103.918,15.0857,529.06,200.342,5.4005,788.93,212.718,16.6901
36,0,-154.751,120.548,64.253,219.22,103.883,15.0133,529.028,200.346,5.27016,788.909,212.654,16.6913
37,0,-154.757,120.522,64.2228,219.156,103.881,15.0612,529.018,200.315,5.26272,788.893,212.61,16.7088
38,0,-154.762,120.474,64.2489,219.144,103.896,14.9967,529.071,200.295,5.20653,788.895,212.573,16.6937
39,0,-154.75,120.452,64.1743,219.152,103.834,14.9332,529.059,200.24,5.18707,788.881,212.513,16.6587
40,0,-154.728,120.378,64.151,219.222,103.793,14.8332,529.073,200.208,5.19296,788.868,212.434,16.6483
41,0,-154.734,120.349,64.1387,219.238,103.772,14.7877,529.063,200.148,5.22222,788.852,212.371,16.6272
42,0,-154.727,120.282,64.0776,219.164,103.767,14.8658,529.061,200.145,5.23145,788.837,212.311,16.6644
43,0,-154.703,120.204,64.0644,219.146,103.779,14.8155,529.044,200.046,5.19385,788.83,212.234,16.7114
44,0,-154.71,120.176,64.0527,219.155,103.718,14.7522,529.096,200.05,5.11516,788.815,212.153,16.7203
45,0,-154.703,120.11,63.9906,219.163,103.717,14.7291,529.086,199.999,5.09055,788.799,212.092,16.7607
46,0,-154.702,120.109,63.9795,219.155,103.688,14.7466,529.072,199.936,5.12275,788.799,212.071,16.7285
47,0,-154.713,120.035,63.9899,219.074,103.678,14.8436,529.067,199.912,5.10613,788.787,211.996,16.7064
48,0,-154.691,119.955,63.9928,219.043,103.666,14.9208,529.058,199.855,5.12244,788.788,211.975,16.6617
49,0,-154.697,119.927,63.9768,219.055,103.688,14.7996,529.002,199.824,5.17284,788.773,211.949,16.6194
